#http://www.isc.tamu.edu/~astro/color/cie_xyz1964.html
#x = x_bar / sum
#y = y_bar / sum
#z = z_bar / sum
#
#sum = x_bar + y_bar + z_bar
#
#===========================================================
#Wave-    Spectral Tristimulus            Chromaticity
#lenght          Values                   Coordinates
#(nm)	x_bar	y_bar	z_bar	x	y	z
#===========================================================
#1	2	3	4	5	6	7
380	0.0002	0.0000	0.0007	0.1813	0.0197	0.7990
385	0.0007	0.0001	0.0029	0.1809	0.0195	0.7996
390	0.0024	0.0003	0.0105	0.1803	0.0194	0.8003
395	0.0072	0.0008	0.0323	0.1795	0.0190	0.8015
400	0.0191	0.0020	0.0860	0.1784	0.0187	0.8029
405	0.0434	0.0045	0.1971	0.1771	0.0184	0.8045
410	0.0847	0.0088	0.3894	0.1755	0.0181	0.8064
415	0.1406	0.0145	0.6568	0.1732	0.0178	0.8090
420	0.2045	0.0214	0.9725	0.1706	0.0179	0.8115
425	0.2647	0.0295	1.2825	0.1679	0.0187	0.8134
430	0.3147	0.0387	1.5535	0.1650	0.0203	0.8147
435	0.3577	0.0496	1.7985	0.1622	0.0225	0.8153
440	0.3837	0.0621	1.9673	0.1590	0.0257	0.8153
445	0.3867	0.0747	2.0273	0.1554	0.0300	0.8146
450	0.3707	0.0895	1.9948	0.1510	0.0364	0.8126
455	0.3430	0.1063	1.9007	0.1459	0.0452	0.8088
460	0.3023	0.1282	1.7454	0.1389	0.0589	0.8022
465	0.2541	0.1528	1.5549	0.1295	0.0779	0.7926
470	0.1956	0.1852	1.3176	0.1152	0.1090	0.7758
475	0.1323	0.2199	1.0302	0.0957	0.1591	0.7452
480	0.0805	0.2536	0.7721	0.0728	0.2292	0.6980
485	0.0411	0.2977	0.5701	0.0452	0.3275	0.6273
490	0.0162	0.3391	0.4153	0.0210	0.4401	0.5389
495	0.0051	0.3954	0.3024	0.0073	0.5625	0.4302
500	0.0038	0.4608	0.2185	0.0056	0.6745	0.3199
505	0.0154	0.5314	0.1592	0.0219	0.7526	0.2256
510	0.0375	0.6067	0.1120	0.0495	0.8023	0.1482
515	0.0714	0.6857	0.0822	0.0850	0.8170	0.0980
520	0.1177	0.7618	0.0607	0.1252	0.8102	0.0646
525	0.1730	0.8233	0.0431	0.1664	0.7922	0.0414
530	0.2365	0.8752	0.0305	0.2071	0.7663	0.0267
535	0.3042	0.9238	0.0206	0.2436	0.7399	0.0165
540	0.3768	0.9620	0.0137	0.2786	0.7113	0.0101
545	0.4516	0.9822	0.0079	0.3132	0.6813	0.0055
550	0.5298	0.9918	0.0040	0.3473	0.6501	0.0026
555	0.6161	0.9991	0.0011	0.3812	0.6182	0.0007
560	0.7052	0.9973	0.0000	0.4142	0.5858	0.0000
565	0.7938	0.9824	0.0000	0.4469	0.5531	0.0000
570	0.8787	0.9556	0.0000	0.4790	0.5210	0.0000
575	0.9512	0.9152	0.0000	0.5096	0.4904	0.0000
580	1.0142	0.8689	0.0000	0.5386	0.4614	0.0000
585	1.0743	0.8256	0.0000	0.5654	0.4346	0.0000
590	1.1185	0.7774	0.0000	0.5900	0.4100	0.0000
595	1.1343	0.7204	0.0000	0.6116	0.3884	0.0000
600	1.1240	0.6583	0.0000	0.6306	0.3694	0.0000
605	1.0891	0.5939	0.0000	0.6471	0.3529	0.0000
610	1.0305	0.5280	0.0000	0.6612	0.3388	0.0000
615	0.9507	0.4618	0.0000	0.6731	0.3269	0.0000
620	0.8563	0.3981	0.0000	0.6827	0.3173	0.0000
625	0.7549	0.3396	0.0000	0.6898	0.3102	0.0000
630	0.6475	0.2835	0.0000	0.6955	0.3045	0.0000
635	0.5351	0.2283	0.0000	0.7010	0.2990	0.0000
640	0.4316	0.1798	0.0000	0.7059	0.2941	0.0000
645	0.3437	0.1402	0.0000	0.7103	0.2898	0.0000
650	0.2683	0.1076	0.0000	0.7137	0.2863	0.0000
655	0.2043	0.0812	0.0000	0.7156	0.2844	0.0000
660	0.1526	0.0603	0.0000	0.7168	0.2832	0.0000
665	0.1122	0.0441	0.0000	0.7179	0.2821	0.0000
670	0.0813	0.0318	0.0000	0.7187	0.2813	0.0000
675	0.0579	0.0226	0.0000	0.7193	0.2807	0.0000
680	0.0409	0.0159	0.0000	0.7198	0.2802	0.0000
685	0.0286	0.0111	0.0000	0.7200	0.2800	0.0000
690	0.0199	0.0077	0.0000	0.7202	0.2798	0.0000
695	0.0138	0.0054	0.0000	0.7203	0.2797	0.0000
700	0.0096	0.0037	0.0000	0.7204	0.2796	0.0000
705	0.0066	0.0026	0.0000	0.7203	0.2797	0.0000
710	0.0046	0.0018	0.0000	0.7202	0.2798	0.0000
715	0.0031	0.0012	0.0000	0.7201	0.2799	0.0000
720	0.0022	0.0008	0.0000	0.7199	0.2801	0.0000
725	0.0015	0.0006	0.0000	0.7197	0.2803	0.0000
730	0.0010	0.0004	0.0000	0.7195	0.2806	0.0000
735	0.0007	0.0003	0.0000	0.7192	0.2808	0.0000
740	0.0005	0.0002	0.0000	0.7189	0.2811	0.0000
745	0.0004	0.0001	0.0000	0.7186	0.2814	0.0000
750	0.0003	0.0001	0.0000	0.7183	0.2817	0.0000
755	0.0002	0.0001	0.0000	0.7180	0.2820	0.0000
760	0.0001	0.0000	0.0000	0.7176	0.2824	0.0000
765	0.0001	0.0000	0.0000	0.7172	0.2828	0.0000
770	0.0001	0.0000	0.0000	0.7169	0.2831	0.0000
775	0.0000	0.0000	0.0000	0.7165	0.2835	0.0000
780	0.0000	0.0000	0.0000	0.7161	0.2839	0.0000	
