#http://www.isc.tamu.edu/~astro/color/cie_xyz1964.html
#x = x_bar / sum
#y = y_bar / sum
#z = z_bar / sum
#
#sum = x_bar + y_bar + z_bar
#
#=============================================
#Wave- Spectral Tristimulus    Chromaticity
#lenght      Values            Coordinates
#(nm) x_bar  y_bar  z_bar    x      y      z
#=============================================
380 0.0014 0.0000 0.0065 0.1741 0.0050 0.8209
#385 0.0022 0.0001 0.0105 0.1740 0.0050 0.8210
#390 0.0042 0.0001 0.0201 0.1738 0.0049 0.8213
#395 0.0076 0.0002 0.0362 0.1736 0.0049 0.8215
#400 0.0143 0.0004 0.0679 0.1733 0.0048 0.8219
#405 0.0232 0.0006 0.1102 0.1730 0.0048 0.8222
#410 0.0435 0.0012 0.2074 0.1726 0.0048 0.8226
#415 0.0776 0.0022 0.3713 0.1721 0.0048 0.8231
#420 0.1344 0.0040 0.6456 0.1714 0.0051 0.8235
#425 0.2148 0.0073 1.0391 0.1703 0.0058 0.8239
#430 0.2839 0.0116 1.3856 0.1689 0.0069 0.8242
#435 0.3285 0.0168 1.6230 0.1669 0.0086 0.8245
440 0.3483 0.0230 1.7471 0.1644 0.0109 0.8247
#445 0.3481 0.0298 1.7826 0.1611 0.0138 0.8251
450 0.3362 0.0380 1.7721 0.1566 0.0177 0.8257
#455 0.3187 0.0480 1.7441 0.1510 0.0227 0.8263
460 0.2908 0.0600 1.6692 0.1440 0.0297 0.8263
465 0.2511 0.0739 1.5281 0.1355 0.0399 0.8246
470 0.1954 0.0910 1.2876 0.1241 0.0578 0.8181
475 0.1421 0.1126 1.0419 0.1096 0.0868 0.8036
480 0.0956 0.1390 0.8130 0.0913 0.1327 0.7760
485 0.0580 0.1693 0.6162 0.0687 0.2007 0.7306
490 0.0320 0.2080 0.4652 0.0454 0.2950 0.6596
495 0.0147 0.2586 0.3533 0.0235 0.4127 0.5638
500 0.0049 0.3230 0.2720 0.0082 0.5384 0.4534
505 0.0024 0.4073 0.2123 0.0039 0.6548 0.3413
510 0.0093 0.5030 0.1582 0.0139 0.7502 0.2359
515 0.0291 0.6082 0.1117 0.0389 0.8120 0.1491
520 0.0633 0.7100 0.0782 0.0743 0.8338 0.0919
525 0.1096 0.7932 0.0573 0.1142 0.8262 0.0596
530 0.1655 0.8620 0.0422 0.1547 0.8059 0.0394
535 0.2257 0.9149 0.0298 0.1929 0.7816 0.0255
540 0.2904 0.9540 0.0203 0.2296 0.7543 0.0161
545 0.3597 0.9803 0.0134 0.2658 0.7243 0.0099
550 0.4334 0.9950 0.0087 0.3016 0.6923 0.0061
555 0.5121 1.0000 0.0057 0.3373 0.6589 0.0038
560 0.5945 0.9950 0.0039 0.3731 0.6245 0.0024
565 0.6784 0.9786 0.0027 0.4087 0.5896 0.0017
570 0.7621 0.9520 0.0021 0.4441 0.5547 0.0012
575 0.8425 0.9154 0.0018 0.4788 0.5202 0.0010
580 0.9163 0.8700 0.0017 0.5125 0.4866 0.0009
585 0.9786 0.8163 0.0014 0.5448 0.4544 0.0008
590 1.0263 0.7570 0.0011 0.5752 0.4242 0.0006
595 1.0567 0.6949 0.0010 0.6029 0.3965 0.0006
600 1.0622 0.6310 0.0008 0.6270 0.3725 0.0005
605 1.0456 0.5668 0.0006 0.6482 0.3514 0.0004
610 1.0026 0.5030 0.0003 0.6658 0.3340 0.0002
615 0.9384 0.4412 0.0002 0.6801 0.3197 0.0002
620 0.8544 0.3810 0.0002 0.6915 0.3083 0.0002
#625 0.7514 0.3210 0.0001 0.7006 0.2993 0.0001
630 0.6424 0.2650 0.0000 0.7079 0.2920 0.0001
#635 0.5419 0.2170 0.0000 0.7140 0.2859 0.0001
640 0.4479 0.1750 0.0000 0.7190 0.2809 0.0001
#645 0.3608 0.1382 0.0000 0.7230 0.2770 0.0000
650 0.2835 0.1070 0.0000 0.7260 0.2740 0.0000
#655 0.2187 0.0816 0.0000 0.7283 0.2717 0.0000
#660 0.1649 0.0610 0.0000 0.7300 0.2700 0.0000
#665 0.1212 0.0446 0.0000 0.7311 0.2689 0.0000
#670 0.0874 0.0320 0.0000 0.7320 0.2680 0.0000
#675 0.0636 0.0232 0.0000 0.7327 0.2673 0.0000
#680 0.0468 0.0170 0.0000 0.7334 0.2666 0.0000
#685 0.0329 0.0119 0.0000 0.7340 0.2660 0.0000
#690 0.0227 0.0082 0.0000 0.7344 0.2656 0.0000
#695 0.0158 0.0057 0.0000 0.7346 0.2654 0.0000
#700 0.0114 0.0041 0.0000 0.7347 0.2653 0.0000
#705 0.0081 0.0029 0.0000 0.7347 0.2653 0.0000
#710 0.0058 0.0021 0.0000 0.7347 0.2653 0.0000
#715 0.0041 0.0015 0.0000 0.7347 0.2653 0.0000
#720 0.0029 0.0010 0.0000 0.7347 0.2653 0.0000
#725 0.0020 0.0007 0.0000 0.7347 0.2653 0.0000
#730 0.0014 0.0005 0.0000 0.7347 0.2653 0.0000
#735 0.0010 0.0004 0.0000 0.7347 0.2653 0.0000
#740 0.0007 0.0002 0.0000 0.7347 0.2653 0.0000
#745 0.0005 0.0002 0.0000 0.7347 0.2653 0.0000
#750 0.0003 0.0001 0.0000 0.7347 0.2653 0.0000
#755 0.0002 0.0001 0.0000 0.7347 0.2653 0.0000
#760 0.0002 0.0001 0.0000 0.7347 0.2653 0.0000
#765 0.0001 0.0000 0.0000 0.7347 0.2653 0.0000
#770 0.0001 0.0000 0.0000 0.7347 0.2653 0.0000
#775 0.0001 0.0000 0.0000 0.7347 0.2653 0.0000
780 0.0000 0.0000 0.0000 0.7347 0.2653 0.0000
