#calculated from Olaf Shultz  o.schultz@enhydralutris.de
#at http://www.enhydralutris.de/Diverses/plotCIEwithGnuplot.tgz
#calculations from http://en.wikipedia.org/wiki/CIELUV
#u'		v'		temp K
u'	v'	temp K
0.3050472464	0.5386051078	2000
0.2968532667	0.53734496	2105
0.2886253913	0.5357112141	2222
0.2803940228	0.5336539698	2353
0.2721828665	0.5311049423	2500
0.2642497988	0.528055852	2677
0.2549649566	0.5240473114	2857
0.2479232493	0.5198253576	3077
0.2400985803	0.5146178278	3333
0.2324652108	0.5085614638	3636
0.2251110171	0.5015872265	4000
0.2180703336	0.4936339044	4444
0.2114181742	0.4846781555	5000
0.2044280443	0.4807195572	5500
0.205251045	0.4747076229	5714
0.1978309514	0.4683300299	6500
0.1996245126	0.4638136042	6667
0.1935024592	0.458532876	7500
0.1946173321	0.4521154201	8000
0.1915008069	0.4435852609	9300
0.1903189163	0.4398908123	10000


